bank,pdf_name,selected_pages
ABN Amro,Pillar3Report,"193-284"
Banca Monte dei Paschi di Siena,annual-report_31-12-2024,"122-296"
Banque Postale,AnnualReport,"55-287, 716-752"
BBVA,Pillar3Report,"252-318"
Belfius,2024-Annual-Report,"184-393"
BNP Paribas,AnnualReport,"209-364"
Caixa Geral de Depósitos,Annual-Report-CGD-2024,"445-588"
CaixaBank,Informe_Anual_Consolidado_2024_ENG,"171-558"
Deutsche Bank,AnnualReport,"190-367"
DNB,annual_report_2024_DNB_group,"62-208"
ING,AnnualReport,"92-152"
Intesa Sanpaolo,2024_Annual_report,"139-374"
KBC Group,jvs-2024-gr-en,"132-232"
KfW,KfW-Finanzbericht-2024-2,"27-180"
Nordea Bank,Pillar3Report,"16-36"
OTP Bank,250425_Integrated_report_e_final_093,"26-98, 155-315"
Pekao,Report_on_the_Activities_Bank_Pekao_Group_RR2024,"125-298"
PKO Bank Polski,"The PKO Bank Polski S.A. Group Director's Report 2024","169-286"
Raiffeisen Bank International,AnnualReport,"74-413"
Santander,AnnualReport,"18-231"
Societe Generale,297,"267-381"
Swedbank,3289763,"73-226"
UniCredit,2024-Annual-Reports-and-Accounts,"133-318"
