dataset,configuration_id,method,retrieval_model,variant,top_m,retrieval_setting,correct_chunk_retrieved,n,correct_count,correct_pct,partially_correct_count,partially_correct_pct,incorrect_count,incorrect_pct,no_answer_count,no_answer_pct
ESRS,bm25,bm25,,standard,,combined,no,880,134,15.227,31,3.523,71,8.068,644,73.182
ESRS,bm25,bm25,,standard,,combined,yes,1120,1091,97.411,16,1.429,11,0.982,2,0.179
ESRS,bm25,bm25,,standard,,top_1,no,571,74,12.96,15,2.627,41,7.18,441,77.233
ESRS,bm25,bm25,,standard,,top_1,yes,429,421,98.135,3,0.699,4,0.932,1,0.233
ESRS,bm25,bm25,,standard,,top_5,no,309,60,19.417,16,5.178,30,9.709,203,65.696
ESRS,bm25,bm25,,standard,,top_5,yes,691,670,96.961,13,1.881,7,1.013,1,0.145
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,no,745,137,18.389,44,5.906,97,13.02,467,62.685
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,yes,1255,1196,95.299,34,2.709,19,1.514,6,0.478
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,no,520,80,15.385,24,4.615,59,11.346,357,68.654
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,yes,480,464,96.667,9,1.875,5,1.042,2,0.417
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,no,225,57,25.333,20,8.889,38,16.889,110,48.889
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,yes,775,732,94.452,25,3.226,14,1.806,4,0.516
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,no,723,144,19.917,37,5.118,72,9.959,470,65.007
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,yes,1277,1229,96.241,28,2.193,16,1.253,4,0.313
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,no,483,80,16.563,18,3.727,34,7.039,351,72.671
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,yes,517,503,97.292,8,1.547,5,0.967,1,0.193
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,no,240,64,26.667,19,7.917,38,15.833,119,49.583
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,yes,760,726,95.526,20,2.632,11,1.447,3,0.395
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,no,1034,154,14.894,33,3.191,81,7.834,766,74.081
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,yes,966,931,96.377,16,1.656,17,1.76,2,0.207
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,no,623,83,13.323,16,2.568,46,7.384,478,76.726
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,yes,377,369,97.878,4,1.061,3,0.796,1,0.265
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,no,411,71,17.275,17,4.136,35,8.516,288,70.073
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,yes,589,562,95.416,12,2.037,14,2.377,1,0.17
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,no,945,155,16.402,37,3.915,72,7.619,681,72.063
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,yes,1055,1015,96.209,30,2.844,9,0.853,1,0.095
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,no,566,81,14.311,21,3.71,33,5.83,431,76.148
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,yes,434,423,97.465,5,1.152,5,1.152,1,0.23
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,no,379,74,19.525,16,4.222,39,10.29,250,65.963
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,yes,621,592,95.33,25,4.026,4,0.644,0,0.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,no,1307,137,10.482,32,2.448,82,6.274,1056,80.796
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,yes,693,667,96.248,12,1.732,14,2.02,0,0.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,no,777,63,8.108,15,1.931,37,4.762,662,85.199
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,yes,223,217,97.309,4,1.794,2,0.897,0,0.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,no,530,74,13.962,17,3.208,45,8.491,394,74.34
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,yes,470,450,95.745,8,1.702,12,2.553,0,0.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,combined,no,1113,153,13.747,40,3.594,79,7.098,841,75.562
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,combined,yes,887,850,95.829,16,1.804,20,2.255,1,0.113
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_1,no,688,73,10.61,17,2.471,45,6.541,553,80.378
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_1,yes,312,303,97.115,5,1.603,3,0.962,1,0.321
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_5,no,425,80,18.824,23,5.412,34,8.0,288,67.765
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_5,yes,575,547,95.13,11,1.913,17,2.957,0,0.0
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,combined,no,687,185,26.929,37,5.386,77,11.208,388,56.477
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,combined,yes,1313,1270,96.725,19,1.447,22,1.676,2,0.152
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_1,no,447,104,23.266,21,4.698,44,9.843,278,62.192
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_1,yes,553,542,98.011,4,0.723,5,0.904,2,0.362
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_5,no,240,81,33.75,16,6.667,33,13.75,110,45.833
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_5,yes,760,728,95.789,15,1.974,17,2.237,0,0.0
