dataset,configuration_id,method,retrieval_model,variant,top_m,retrieval_setting,n,correct_chunk_retrieved_count,correct_chunk_retrieved_pct,correct_chunk_not_retrieved_count,correct_chunk_not_retrieved_pct
ESRS,bm25,bm25,,standard,,combined,2000,1120,56.0,880,44.0
ESRS,bm25,bm25,,standard,,top_1,1000,429,42.9,571,57.1
ESRS,bm25,bm25,,standard,,top_5,1000,691,69.1,309,30.9
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,2000,1255,62.75,745,37.25
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,1000,480,48.0,520,52.0
ESRS,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,1000,775,77.5,225,22.5
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,2000,1277,63.85,723,36.15
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,1000,517,51.7,483,48.3
ESRS,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,1000,760,76.0,240,24.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,2000,966,48.3,1034,51.7
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,1000,377,37.7,623,62.3
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,1000,589,58.9,411,41.1
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,2000,1055,52.75,945,47.25
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,1000,434,43.4,566,56.6
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,1000,621,62.1,379,37.9
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,2000,693,34.65,1307,65.35
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,1000,223,22.3,777,77.7
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,1000,470,47.0,530,53.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,combined,2000,887,44.35,1113,55.65
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_1,1000,312,31.2,688,68.8
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_5,1000,575,57.5,425,42.5
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,combined,2000,1313,65.65,687,34.35
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_1,1000,553,55.3,447,44.7
ESRS,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_5,1000,760,76.0,240,24.0
