doc_name,check,issue_type,position,node_id,structure,title,start_index,end_index,previous_node_id,previous_structure,previous_title,previous_start_index,previous_end_index,path,message
Banque Postale,all_nodes_preorder,start_index_goes_backwards,33,0033,,La Banque Postale’s Financing and Investment Charter,28,29,0032,2.1.5,Disclosure requirements covered by the sustainability report,52,54,2.1 General information on the preparation of sustainability reports [ESRS 2] > None La Banque Postale’s Financing and Investment Charter,Node start_index is smaller than the previous node start_index.
Banque Postale,all_nodes_preorder,start_before_previous_end,33,0033,,La Banque Postale’s Financing and Investment Charter,28,29,0032,2.1.5,Disclosure requirements covered by the sustainability report,52,54,2.1 General information on the preparation of sustainability reports [ESRS 2] > None La Banque Postale’s Financing and Investment Charter,Node start_index is smaller than the previous node end_index.
Banque Postale,all_nodes_preorder,start_index_goes_backwards,126,0126,,"Managing, recovering and reducing our waste",104,105,0125,2.2.5.3.2,Metrics,107,108,"2.2 Environmental information > None Managing, recovering and reducing our waste",Node start_index is smaller than the previous node start_index.
Banque Postale,all_nodes_preorder,start_before_previous_end,126,0126,,"Managing, recovering and reducing our waste",104,105,0125,2.2.5.3.2,Metrics,107,108,"2.2 Environmental information > None Managing, recovering and reducing our waste",Node start_index is smaller than the previous node end_index.
Banque Postale,leaf_nodes_order,start_index_goes_backwards,26,0033,,La Banque Postale’s Financing and Investment Charter,28,29,0032,2.1.5,Disclosure requirements covered by the sustainability report,52,54,2.1 General information on the preparation of sustainability reports [ESRS 2] > None La Banque Postale’s Financing and Investment Charter,Node start_index is smaller than the previous node start_index.
Banque Postale,leaf_nodes_order,start_before_previous_end,26,0033,,La Banque Postale’s Financing and Investment Charter,28,29,0032,2.1.5,Disclosure requirements covered by the sustainability report,52,54,2.1 General information on the preparation of sustainability reports [ESRS 2] > None La Banque Postale’s Financing and Investment Charter,Node start_index is smaller than the previous node end_index.
Banque Postale,leaf_nodes_order,start_index_goes_backwards,110,0126,,"Managing, recovering and reducing our waste",104,105,0125,2.2.5.3.2,Metrics,107,108,"2.2 Environmental information > None Managing, recovering and reducing our waste",Node start_index is smaller than the previous node start_index.
Banque Postale,leaf_nodes_order,start_before_previous_end,110,0126,,"Managing, recovering and reducing our waste",104,105,0125,2.2.5.3.2,Metrics,107,108,"2.2 Environmental information > None Managing, recovering and reducing our waste",Node start_index is smaller than the previous node end_index.
Caixa Geral de Depósitos,all_nodes_preorder,start_after_end,2,0002,4.1,Message from the Chief Executive Officer,3,2,0001,,Index,2,3,4.1 Message from the Chief Executive Officer,Node start_index is larger than end_index.
Caixa Geral de Depósitos,all_nodes_preorder,start_index_goes_backwards,3,0003,4.2,Sustainability Highlights - 2024,2,3,0002,4.1,Message from the Chief Executive Officer,3,2,4.2 Sustainability Highlights - 2024,Node start_index is smaller than the previous node start_index.
