dataset,result_file,method,model,variant,top_m,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct,n_result_queries,master_n_queries,coverage_pct
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,1000,0.377,0.589,0.46171666666666666,0.975,0.000157,0.000157,0.000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,37.7,58.9,46.17166666666667,97.5,1000,1000,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,1000,0.284,0.406,0.3356166666666667,0.975,4e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,28.4,40.6,33.56166666666667,97.5,1000,1000,100.0
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,1000,0.335,0.496,0.40121666666666667,0.974,6.2e-05,6.2e-05,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,33.5,49.6,40.12166666666667,97.39999999999999,1000,1000,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,1000,0.434,0.621,0.5068333333333334,0.999,0.000641,0.000641,0.000641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,43.4,62.1,50.68333333333334,99.9,1000,1000,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,1000,0.342,0.467,0.39028333333333337,0.999,0.000136,0.000136,0.000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,34.2,46.7,39.028333333333336,99.9,1000,1000,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,1000,0.388,0.542,0.44711666666666666,0.999,0.00020600000000000002,0.00020600000000000002,0.00020600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,38.800000000000004,54.2,44.711666666666666,99.9,1000,1000,100.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,1000,0.223,0.47,0.31439999999999996,0.975,7.6e-05,7.6e-05,7.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,22.3,47.0,31.439999999999994,97.5,1000,1000,100.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,1000,0.185,0.378,0.257,0.975,7.4e-05,7.4e-05,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,18.5,37.8,25.7,97.5,1000,1000,100.0
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,1000,0.205,0.432,0.28881666666666667,0.974,0.000132,0.000132,0.000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,20.5,43.2,28.881666666666668,97.39999999999999,1000,1000,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,1000,0.312,0.575,0.4105833333333333,0.999,0.000184,0.000184,0.000184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,31.2,57.49999999999999,41.05833333333333,99.9,1000,1000,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,1000,0.255,0.456,0.3308666666666667,0.999,7.4e-05,7.4e-05,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,25.5,45.6,33.08666666666667,99.9,1000,1000,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,1000,0.282,0.521,0.37101666666666666,0.999,0.00011800000000000001,0.00011800000000000001,0.00011800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,28.199999999999996,52.1,37.10166666666667,99.9,1000,1000,100.0
