dataset,result_file,method,model,variant,top_m,bank,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
ESRS,bm25_query_results.jsonl,BM25,–,standard,,ABN Amro,53,0.49056603773584906,0.8301886792452831,0.6358490566037737,0.9433962264150944,0.015535622641509435,0.015535622641509435,0.015535622641509435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,49.056603773584904,83.01886792452831,63.584905660377366,94.33962264150944
ESRS,bm25_query_results.jsonl,BM25,–,standard,,BBVA,3,1.0,1.0,1.0,1.0,0.02469766666666667,0.02469766666666667,0.02469766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0
ESRS,bm25_query_results.jsonl,BM25,–,standard,,BNP Paribas,13,0.5384615384615384,0.9230769230769231,0.6884615384615385,0.9230769230769231,0.01633676923076923,0.01633676923076923,0.01633676923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,53.84615384615385,92.3076923076923,68.84615384615384,92.3076923076923
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Banca Monte dei Paschi di Siena,78,0.24358974358974358,0.4230769230769231,0.31517094017094016,0.9487179487179487,0.016430384615384614,0.016430384615384614,0.016430384615384614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,24.358974358974358,42.30769230769231,31.517094017094017,94.87179487179486
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Banque Postale,95,0.47368421052631576,0.8,0.6049122807017544,0.9368421052631579,0.012596557894736843,0.012596557894736843,0.012596557894736843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,47.368421052631575,80.0,60.49122807017544,93.6842105263158
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Belfius,33,0.42424242424242425,0.7575757575757576,0.5363636363636364,0.7878787878787878,0.011644909090909091,0.011644909090909091,0.011644909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,42.42424242424242,75.75757575757575,53.63636363636364,78.78787878787878
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Caixa Geral de Depósitos,3,1.0,1.0,1.0,1.0,0.013296666666666667,0.013296666666666667,0.013296666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0
ESRS,bm25_query_results.jsonl,BM25,–,standard,,CaixaBank,32,0.375,0.78125,0.546875,0.625,0.0119494375,0.0119494375,0.0119494375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,37.5,78.125,54.6875,62.5
ESRS,bm25_query_results.jsonl,BM25,–,standard,,DNB,50,0.52,0.8,0.6366666666666666,0.82,0.011501319999999999,0.011501319999999999,0.011501319999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,52.0,80.0,63.66666666666666,82.0
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Deutsche Bank,13,0.46153846153846156,0.6153846153846154,0.5256410256410257,0.8461538461538461,0.012068923076923078,0.012068923076923078,0.012068923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,46.15384615384615,61.53846153846154,52.56410256410257,84.61538461538461
