dataset,result_file,method,model,variant,top_m,toc,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
ESRS,bm25_query_results.jsonl,BM25,–,standard,,No TOC,384,0.4244791666666667,0.6614583333333334,0.511501736111111,0.84375,0.013564052083333333,0.013564052083333333,0.013564052083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,42.44791666666667,66.14583333333334,51.15017361111111,84.375
ESRS,bm25_query_results.jsonl,BM25,–,standard,,Present,616,0.4318181818181818,0.7094155844155844,0.5400703463203463,0.7646103896103896,0.012636860389610389,0.012636860389610389,0.012636860389610389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,43.18181818181818,70.94155844155844,54.00703463203463,76.46103896103897
ESRS,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,No TOC,384,0.4401041666666667,0.7369791666666666,0.5575086805555556,0.90625,0.0010104166666666666,0.0010104166666666666,0.0010104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,44.01041666666667,73.69791666666666,55.75086805555556,90.625
ESRS,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Present,616,0.5048701298701299,0.7987012987012987,0.6153679653679653,0.887987012987013,0.0010146103896103895,0.0010146103896103895,0.0010146103896103895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,50.48701298701299,79.87012987012987,61.53679653679654,88.7987012987013
ESRS,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,No TOC,384,0.5026041666666666,0.75,0.5950086805555556,0.9244791666666666,0.003252604166666667,0.003252604166666667,0.003252604166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,50.260416666666664,75.0,59.50086805555556,92.44791666666666
ESRS,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Present,616,0.525974025974026,0.7662337662337663,0.6209686147186146,0.8944805194805194,0.003188311688311688,0.003188311688311688,0.003188311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,52.5974025974026,76.62337662337663,62.096861471861466,89.44805194805194
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,No TOC,384,0.296875,0.5182291666666666,0.3833333333333333,0.9661458333333334,0.00012239583333333332,0.00012239583333333332,0.00012239583333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,29.6875,51.822916666666664,38.33333333333333,96.61458333333334
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Present,616,0.42694805194805197,0.6331168831168831,0.5105790043290043,0.9805194805194806,0.00017857142857142857,0.00017857142857142857,0.00017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,42.6948051948052,63.31168831168831,51.057900432900425,98.05194805194806
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,No TOC,384,0.2421875,0.3645833333333333,0.29366319444444444,0.9661458333333334,2.604166666666667e-05,2.604166666666667e-05,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,24.21875,36.45833333333333,29.366319444444443,96.61458333333334
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Present,616,0.31006493506493504,0.4318181818181818,0.3617694805194805,0.9805194805194806,4.87012987012987e-05,4.87012987012987e-05,4.87012987012987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,31.006493506493506,43.18181818181818,36.17694805194805,98.05194805194806
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,No TOC,384,0.2786458333333333,0.4479166666666667,0.3478298611111111,0.9661458333333334,4.9479166666666665e-05,4.9479166666666665e-05,4.9479166666666665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,27.864583333333332,44.79166666666667,34.78298611111111,96.61458333333334
ESRS,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,Present,616,0.37012987012987014,0.525974025974026,0.4344967532467532,0.9788961038961039,6.980519480519482e-05,6.980519480519482e-05,6.980519480519482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,37.01298701298701,52.5974025974026,43.44967532467532,97.8896103896104
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,No TOC,384,0.359375,0.5416666666666666,0.43315972222222227,1.0,0.0006510416666666666,0.0006510416666666666,0.0006510416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,35.9375,54.166666666666664,43.31597222222223,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,Present,616,0.4805194805194805,0.6704545454545454,0.5527597402597403,0.9983766233766234,0.0006347402597402597,0.0006347402597402597,0.0006347402597402597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,48.05194805194805,67.04545454545455,55.27597402597403,99.83766233766234
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,No TOC,384,0.3072916666666667,0.4270833333333333,0.3546006944444444,1.0,9.114583333333334e-05,9.114583333333334e-05,9.114583333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,30.729166666666668,42.70833333333333,35.46006944444444,100.0
