run_timestamp,dataset,pdf_name,doc_name,pdf_path,structure_path,output_path,updated_structure_path,num_chunks,total_chunk_tokens,input_tokens,output_tokens,total_tokens,llm_successful_calls,llm_failed_calls,latency_seconds
2026-08-10 13:07:10,ESRS,ABN Amro,ABN Amro,data/ESRS/ABN Amro.pdf,final results/ESRS structure/ABN Amro_structure.json,final results/ESRS chunks/ABN Amro_chunks.jsonl,final results/ESRS structure/ABN Amro_structure_new.json,139,69916,20268,8653,28921,7,0,246.445
2026-08-10 13:12:57,ESRS,Banca Monte dei Paschi di Siena,Banca Monte dei Paschi di Siena,data/ESRS/Banca Monte dei Paschi di Siena.pdf,final results/ESRS structure/Banca Monte dei Paschi di Siena_structure.json,final results/ESRS chunks/Banca Monte dei Paschi di Siena_chunks.jsonl,final results/ESRS structure/Banca Monte dei Paschi di Siena_structure_new.json,216,163664,4599,6058,10657,7,0,86.142
2026-08-10 13:17:34,ESRS,Banque Postale,Banque Postale,data/ESRS/Banque Postale.pdf,final results/ESRS structure/Banque Postale_structure.json,final results/ESRS chunks/Banque Postale_chunks.jsonl,final results/ESRS structure/Banque Postale_structure_new.json,226,281577,6950,7860,14810,8,0,141.567
2026-08-10 13:21:28,ESRS,BBVA,BBVA,data/ESRS/BBVA.pdf,final results/ESRS structure/BBVA_structure.json,final results/ESRS chunks/BBVA_chunks.jsonl,final results/ESRS structure/BBVA_structure_new.json,13,56224,0,0,0,0,0,3.561
2026-08-10 13:21:47,ESRS,Belfius,Belfius,data/ESRS/Belfius.pdf,final results/ESRS structure/Belfius_structure.json,final results/ESRS chunks/Belfius_chunks.jsonl,final results/ESRS structure/Belfius_structure_new.json,137,195883,168425,33828,202253,26,0,633.266
2026-08-10 13:34:14,ESRS,BNP Paribas,BNP Paribas,data/ESRS/BNP Paribas.pdf,final results/ESRS structure/BNP Paribas_structure.json,final results/ESRS chunks/BNP Paribas_chunks.jsonl,final results/ESRS structure/BNP Paribas_structure_new.json,52,130446,21054,5059,26113,5,0,80.448
2026-08-10 13:40:13,ESRS,Caixa Geral de Depósitos,Caixa Geral de Depósitos,data/ESRS/Caixa Geral de Depósitos.pdf,final results/ESRS structure/Caixa Geral de Depósitos_structure.json,final results/ESRS chunks/Caixa Geral de Depósitos_chunks.jsonl,final results/ESRS structure/Caixa Geral de Depósitos_structure_new.json,31,166515,78420,12262,90682,6,0,179.504
2026-08-10 13:44:21,ESRS,CaixaBank,CaixaBank,data/ESRS/CaixaBank.pdf,final results/ESRS structure/CaixaBank_structure.json,final results/ESRS chunks/CaixaBank_chunks.jsonl,final results/ESRS structure/CaixaBank_structure_new.json,125,190990,11728,16864,28592,19,0,232.045
2026-08-10 13:48:36,ESRS,Deutsche Bank,Deutsche Bank,data/ESRS/Deutsche Bank.pdf,final results/ESRS structure/Deutsche Bank_structure.json,final results/ESRS chunks/Deutsche Bank_chunks.jsonl,final results/ESRS structure/Deutsche Bank_structure_new.json,28,147610,0,0,0,0,0,13.709
2026-08-10 13:51:02,ESRS,DNB,DNB,data/ESRS/DNB.pdf,final results/ESRS structure/DNB_structure.json,final results/ESRS chunks/DNB_chunks.jsonl,final results/ESRS structure/DNB_structure_new.json,165,176823,14161,9569,23730,8,0,141.754
