run_timestamp,dataset,pdf_name,pdf_path,output_path,log_path,status,num_pages,raw_pdf_tokens,toc_present,toc_page_index_given,input_tokens,output_tokens,total_tokens,llm_successful_calls,llm_failed_calls,latency_seconds,error
2026-07-20 16:22:02,ESRS,ABN Amro,data/ESRS/ABN Amro.pdf,final results\ESRS structure\ABN Amro_structure.json,data\ESRS\logs\ABN Amro_20260720_162202.json,success,92,70776,yes,yes,709130,300339,1009469,460,0,1098.656,
2026-07-20 16:42:13,ESRS,Banca Monte dei Paschi di Siena,data/ESRS/Banca Monte dei Paschi di Siena.pdf,final results\ESRS structure\Banca Monte dei Paschi di Siena_structure.json,data\ESRS\logs\Banca Monte dei Paschi di Siena_20260720_164213.json,success,175,163999,no,no,1183576,523598,1707174,728,0,1752.427,
2026-07-21 09:10:54,ESRS,Banque Postale,data/ESRS/Banque Postale.pdf,final results\ESRS structure\Banque Postale_structure.json,data\ESRS\logs\Banque Postale_20260721_091054.json,success,270,275989,yes,yes,1615930,667967,2283897,759,0,1923.27,
2026-07-21 09:49:29,ESRS,BBVA,data/ESRS/BBVA.pdf,final results\ESRS structure\BBVA_structure.json,data\ESRS\logs\BBVA_20260721_094929.json,success,67,55624,yes,yes,138467,50893,189360,58,0,364.861,
2026-07-21 09:59:29,ESRS,Belfius,data/ESRS/Belfius.pdf,final results\ESRS structure\Belfius_structure.json,data\ESRS\logs\Belfius_20260721_095929.json,success,210,194788,yes,yes,1139244,369625,1508869,498,0,1134.494,
2026-07-21 10:23:14,ESRS,BNP Paribas,data/ESRS/BNP Paribas.pdf,final results\ESRS structure\BNP Paribas_structure.json,data\ESRS\logs\BNP Paribas_20260721_102314.json,success,156,129125,yes,yes,466074,201236,667310,223,0,937.871,
2026-07-21 10:40:09,ESRS,Caixa Geral de Depósitos,data/ESRS/Caixa Geral de Depósitos.pdf,final results\ESRS structure\Caixa Geral de Depósitos_structure.json,data\ESRS\logs\Caixa Geral de Depósitos_20260721_104009.json,success,144,166454,yes,yes,588580,127679,716259,123,0,706.664,
2026-07-21 10:53:08,ESRS,CaixaBank,data/ESRS/CaixaBank.pdf,final results\ESRS structure\CaixaBank_structure.json,data\ESRS\logs\CaixaBank_20260721_105308.json,success,388,189446,yes,yes,618005,324644,942649,441,0,1229.511,
2026-07-21 11:14:44,ESRS,Deutsche Bank,data/ESRS/Deutsche Bank.pdf,final results\ESRS structure\Deutsche Bank_structure.json,data\ESRS\logs\Deutsche Bank_20260721_111444.json,success,178,147938,yes,yes,299487,114314,413801,119,0,642.487,
2026-07-21 11:26:22,ESRS,DNB,data/ESRS/DNB.pdf,final results\ESRS structure\DNB_structure.json,data\ESRS\logs\DNB_20260721_112622.json,success,147,177129,yes,yes,1789867,562494,2352361,716,0,1960.819,
2026-07-21 12:01:57,ESRS,ING,data/ESRS/ING.pdf,final results\ESRS structure\ING_structure.json,data\ESRS\logs\ING_20260721_120157.json,success,61,55939,yes,yes,929913,290509,1220422,446,0,1224.509,
2026-07-21 12:23:11,ESRS,Intesa Sanpaolo,data/ESRS/Intesa Sanpaolo.pdf,final results\ESRS structure\Intesa Sanpaolo_structure.json,data\ESRS\logs\Intesa Sanpaolo_20260721_122311.json,success,236,264702,no,no,2232585,828715,3061300,1102,0,1396.656,
2026-07-21 12:50:00,ESRS,KBC Group,data/ESRS/KBC Group.pdf,final results\ESRS structure\KBC Group_structure.json,data\ESRS\logs\KBC Group_20260721_125000.json,success,101,70522,no,no,347967,178448,526415,236,0,411.541,
2026-07-21 12:57:34,ESRS,KfW,data/ESRS/KfW.pdf,final results\ESRS structure\KfW_structure.json,data\ESRS\logs\KfW_20260721_125734.json,success,154,134651,yes,yes,589563,270552,860115,327,0,1001.6,
2026-07-21 14:43:09,ESRS,Nordea Bank,data/ESRS/Nordea Bank.pdf,final results\ESRS structure\Nordea Bank_structure.json,data\ESRS\logs\Nordea Bank_20260721_144309.json,success,21,21123,no,no,349262,169393,518655,262,0,353.07,
2026-07-21 14:49:49,ESRS,OTP Bank,data/ESRS/OTP Bank.pdf,final results\ESRS structure\OTP Bank_structure.json,data\ESRS\logs\OTP Bank_20260721_144949.json,success,234,245925,no,no,1306336,590544,1896880,679,0,1206.986,
2026-07-21 15:17:23,ESRS,Pekao,data/ESRS/Pekao.pdf,final results\ESRS structure\Pekao_structure.json,data\ESRS\logs\Pekao_20260721_151723.json,success,174,158058,no,no,784388,362411,1146799,363,0,834.438,
2026-07-21 15:31:57,ESRS,PKO Bank Polski,data/ESRS/PKO Bank Polski.pdf,final results\ESRS structure\PKO Bank Polski_structure.json,data\ESRS\logs\PKO Bank Polski_20260721_153157.json,success,118,143243,no,no,977824,414615,1392439,466,0,982.247,
2026-07-21 15:50:01,ESRS,Raiffeisen Bank International,data/ESRS/Raiffeisen Bank International.pdf,final results\ESRS structure\Raiffeisen Bank International_structure.json,data\ESRS\logs\Raiffeisen Bank International_20260721_155001.json,success,340,302259,yes,yes,2917074,1296709,4213783,1638,0,2766.773,
2026-07-22 09:15:12,ESRS,Santander,data/ESRS/Santander.pdf,final results\ESRS structure\Santander_structure.json,data\ESRS\logs\Santander_20260722_091512.json,success,214,202387,yes,yes,2783972,559786,3343758,617,0,2409.42,
2026-07-22 09:56:22,ESRS,Societe Generale,data/ESRS/Societe Generale.pdf,final results\ESRS structure\Societe Generale_structure.json,data\ESRS\logs\Societe Generale_20260722_095622.json,success,115,119672,yes,yes,341752,157246,498998,142,0,576.616,
2026-07-22 10:06:53,ESRS,Swedbank,data/ESRS/Swedbank.pdf,final results\ESRS structure\Swedbank_structure.json,data\ESRS\logs\Swedbank_20260722_100653.json,success,154,156941,yes,yes,1701425,617937,2319362,675,0,3211.541,
