dataset,method,model,variant,top_m,accuracy_at_1,mrr_at_5,mean_query_latency_seconds,median_query_latency_seconds,p95_query_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens
ESRS,BM25,–,standard,,0.429,0.5290999999999999,0.012992901999999999,0.012371,0.01983864999999999,0.0,0.0,0.0
ESRS,Dense,Harrier,standard,,0.48,0.59315,0.016892937443882174,0.015973594807088348,0.0183678498715162,0.0,0.0,0.0
ESRS,Dense,Linq-Embed-Mistral,standard,,0.517,0.611,0.023076192424178073,0.02286074633896345,0.024551992914453136,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,chunk_rerank,10.0,0.377,0.46171666666666666,0.016036937443882182,0.0150013878010213,0.01747678024694316,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,0.434,0.5068333333333334,0.02050419242417808,0.020459907431155402,0.021924148382618962,0.0,0.0,0.0
ESRS,PageIndex,GPT-5,standard,,0.553,0.7391166666666668,153.363191,135.8025,284.85784999999976,104417.544,9408.04,113825.584
FinanceBench,BM25,–,standard,,0.13513513513513514,0.1749249249249249,0.028379360360360362,0.02599,0.053123500000000004,0.0,0.0,0.0
FinanceBench,Dense,Harrier,standard,,0.21621621621621623,0.31261261261261264,0.021647219668436097,0.018824601218104302,0.029552465908229297,0.0,0.0,0.0
FinanceBench,Dense,Linq-Embed-Mistral,standard,,0.18018018018018017,0.26186186186186183,0.02727228896856841,0.0263230966106057,0.02923506591841575,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,chunk_rerank,10.0,0.23423423423423423,0.342942942942943,0.019872444893661335,0.0169048057869076,0.0275524659082293,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,0.2072072072072072,0.30405405405405406,0.020470487166766606,0.0195124857127666,0.0211267694830894,0.0,0.0,0.0
FinanceBench,PageIndex,GPT-5,standard,,0.5945945945945946,0.7232732732732733,157.79744144144144,122.82,335.6935,159999.72972972973,9638.945945945947,169638.67567567568
