dataset,method,model,variant,top_m,n_queries,accuracy_at_1,mrr_at_5,mean_query_latency_seconds,median_query_latency_seconds,p95_query_latency_seconds,mean_embedding_latency_seconds,mean_retrieval_stage_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens
ESRS,BM25,–,standard,,1000,0.429,0.5290999999999999,0.012992901999999999,0.012371,0.01983864999999999,0.0,0.012992901999999999,0.0,0.0,0.0
ESRS,Dense,Harrier,standard,,1000,0.48,0.59315,0.016892937443882174,0.015973594807088348,0.0183678498715162,0.015879937443882178,0.0010130000000000004,0.0,0.0,0.0
ESRS,Dense,Linq-Embed-Mistral,standard,,1000,0.517,0.611,0.023076192424178073,0.02286074633896345,0.024551992914453136,0.019863192424178073,0.0032130000000000006,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,chunk_rerank,5.0,1000,0.284,0.3356166666666667,0.01591993744388218,0.01497871940955515,0.017391835851594723,0.015879937443882178,4e-05,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,chunk_rerank,7.0,1000,0.335,0.40121666666666667,0.015941937443882177,0.0149821741506457,0.0173678498715162,0.015879937443882178,6.2e-05,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,chunk_rerank,10.0,1000,0.377,0.46171666666666666,0.016036937443882182,0.0150013878010213,0.01747678024694316,0.015879937443882178,0.000157,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,node,5.0,1000,0.185,0.257,0.01595393744388218,0.014986099209636401,0.0173678498715162,0.015879937443882178,7.4e-05,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,node,7.0,1000,0.205,0.2888166666666666,0.016011937443882174,0.0150043261237442,0.017357859015464747,0.015879937443882178,0.000132,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,node,10.0,1000,0.223,0.31439999999999996,0.015955937443882177,0.01498792180791495,0.017406671540811613,0.015879937443882178,7.600000000000002e-05,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,1000,0.342,0.3902833333333333,0.019999192424178077,0.0198086099699139,0.021265911240130612,0.019863192424178073,0.000136,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,1000,0.388,0.44711666666666666,0.020069192424178078,0.0198788991309702,0.021396986976265867,0.019863192424178073,0.00020600000000000002,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,1000,0.434,0.5068333333333334,0.02050419242417808,0.020459907431155402,0.021924148382618962,0.019863192424178073,0.0006410000000000002,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,1000,0.255,0.3308666666666667,0.019937192424178074,0.01977124903351065,0.021124077610671487,0.019863192424178073,7.400000000000001e-05,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,1000,0.282,0.37101666666666666,0.019981192424178076,0.019784256350249,0.02133502559736368,0.019863192424178073,0.000118,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,1000,0.312,0.4105833333333333,0.02004719242417808,0.019856684293597902,0.021398266016319348,0.019863192424178073,0.000184,0.0,0.0,0.0
ESRS,PageIndex,GPT-5,standard,,1000,0.553,0.7391166666666668,153.363191,135.8025,284.85784999999976,0.0,153.363191,104417.544,9408.04,113825.584
FinanceBench,BM25,–,standard,,111,0.13513513513513514,0.1749249249249249,0.028379360360360362,0.02599,0.053123500000000004,0.0,0.028379360360360362,0.0,0.0,0.0
FinanceBench,Dense,Harrier,standard,,111,0.21621621621621623,0.31261261261261264,0.021647219668436097,0.018824601218104302,0.029552465908229297,0.019629201650418093,0.002018018018018019,0.0,0.0,0.0
FinanceBench,Dense,Linq-Embed-Mistral,standard,,111,0.18018018018018017,0.26186186186186183,0.02727228896856841,0.0263230966106057,0.02923506591841575,0.020029045725325167,0.007243243243243246,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,chunk_rerank,5.0,111,0.23423423423423423,0.3304804804804805,0.019791363812580256,0.0168726732954382,0.0275524659082293,0.019629201650418093,0.00016216216216216218,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,chunk_rerank,7.0,111,0.22522522522522523,0.32612612612612607,0.019764336785553227,0.0168559765443205,0.0275524659082293,0.019629201650418093,0.00013513513513513514,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,chunk_rerank,10.0,111,0.23423423423423423,0.342942942942943,0.019872444893661335,0.0169048057869076,0.0275524659082293,0.019629201650418093,0.00024324324324324323,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,node,5.0,111,0.2072072072072072,0.2899399399399399,0.019728300749517192,0.0168496910482645,0.0275524659082293,0.019629201650418093,9.909909909909912e-05,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,node,7.0,111,0.2072072072072072,0.2881381381381381,0.0197373097585262,0.0168726732954382,0.0275524659082293,0.019629201650418093,0.00010810810810810811,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,node,10.0,111,0.22522522522522523,0.30615615615615616,0.01974631876753521,0.0168444011360406,0.0275524659082293,0.019629201650418093,0.00011711711711711712,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,111,0.1981981981981982,0.2980480480480481,0.020272288968568412,0.0193470083177089,0.021533562637865503,0.020029045725325167,0.00024324324324324323,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,111,0.21621621621621623,0.31486486486486487,0.0204614781577576,0.019502131268382,0.021472258411347853,0.020029045725325167,0.00043243243243243243,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,111,0.2072072072072072,0.30405405405405406,0.020470487166766606,0.0195124857127666,0.0211267694830894,0.020029045725325167,0.00044144144144144144,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,111,0.17117117117117117,0.2816816816816817,0.02020021689649634,0.0193230966106057,0.0213561084344983,0.020029045725325167,0.00017117117117117117,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,111,0.18018018018018017,0.2933933933933934,0.0202632799595594,0.0193262910470366,0.02101061950623985,0.020029045725325167,0.00023423423423423424,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,111,0.18018018018018017,0.2933933933933934,0.020335352031631476,0.019384522922337,0.0213561084344983,0.020029045725325167,0.00030630630630630633,0.0,0.0,0.0
FinanceBench,PageIndex,GPT-5,standard,,111,0.5945945945945946,0.7232732732732733,157.79744144144144,122.82,335.6935,0.0,157.79744144144144,159999.72972972973,9638.945945945947,169638.67567567568
