run_timestamp,dataset,pdf_name,pdf_path,output_path,log_path,status,num_pages,raw_pdf_tokens,toc_present,toc_page_index_given,structure_input_tokens,structure_output_tokens,structure_total_tokens,structure_llm_successful_calls,structure_llm_failed_calls,structure_latency_seconds,error,doc_name,num_chunks,total_chunk_tokens,chunk_input_tokens,chunk_output_tokens,chunk_total_tokens,chunk_llm_successful_calls,chunk_llm_failed_calls,chunk_latency_seconds,combined_input_tokens,combined_output_tokens,combined_total_tokens,combined_llm_successful_calls,combined_llm_failed_calls,combined_latency_seconds,structure_total_tokens_per_page,structure_latency_seconds_per_page,structure_llm_calls_per_page,chunk_total_tokens_per_page,chunk_latency_seconds_per_page,chunk_total_tokens_per_chunk,chunk_latency_seconds_per_chunk,combined_total_tokens_per_page,combined_latency_seconds_per_page,combined_total_tokens_per_chunk,combined_latency_seconds_per_chunk
2026-07-20 16:22:02,ESRS,ABN Amro,data/ESRS/ABN Amro.pdf,final results\ESRS structure\ABN Amro_structure.json,data\ESRS\logs\ABN Amro_20260720_162202.json,success,92,70776,yes,yes,709130,300339,1009469,460,0,1098.656,,ABN Amro,139,69916,20268,8653,28921,7,0,246.445,729398,308992,1038390,467,0,1345.101,10972.4891,11.9419,5.0,314.3587,2.6788,208.0647,1.773,11286.8478,14.6207,7470.4317,9.677
2026-07-20 16:42:13,ESRS,Banca Monte dei Paschi di Siena,data/ESRS/Banca Monte dei Paschi di Siena.pdf,final results\ESRS structure\Banca Monte dei Paschi di Siena_structure.json,data\ESRS\logs\Banca Monte dei Paschi di Siena_20260720_164213.json,success,175,163999,no,no,1183576,523598,1707174,728,0,1752.427,,Banca Monte dei Paschi di Siena,216,163664,4599,6058,10657,7,0,86.142,1188175,529656,1717831,735,0,1838.569,9755.28,10.0139,4.16,60.8971,0.4922,49.338,0.3988,9816.1771,10.5061,7952.9213,8.5119
2026-07-21 09:10:54,ESRS,Banque Postale,data/ESRS/Banque Postale.pdf,final results\ESRS structure\Banque Postale_structure.json,data\ESRS\logs\Banque Postale_20260721_091054.json,success,270,275989,yes,yes,1615930,667967,2283897,759,0,1923.27,,Banque Postale,226,281577,6950,7860,14810,8,0,141.567,1622880,675827,2298707,767,0,2064.837,8458.8778,7.1232,2.8111,54.8519,0.5243,65.531,0.6264,8513.7296,7.6475,10171.2699,9.1364
2026-07-21 09:49:29,ESRS,BBVA,data/ESRS/BBVA.pdf,final results\ESRS structure\BBVA_structure.json,data\ESRS\logs\BBVA_20260721_094929.json,success,67,55624,yes,yes,138467,50893,189360,58,0,364.861,,BBVA,13,56224,0,0,0,0,0,3.561,138467,50893,189360,58,0,368.422,2826.2687,5.4457,0.8657,0.0,0.0531,0.0,0.2739,2826.2687,5.4988,14566.1538,28.3402
2026-07-21 09:59:29,ESRS,Belfius,data/ESRS/Belfius.pdf,final results\ESRS structure\Belfius_structure.json,data\ESRS\logs\Belfius_20260721_095929.json,success,210,194788,yes,yes,1139244,369625,1508869,498,0,1134.494,,Belfius,137,195883,168425,33828,202253,26,0,633.266,1307669,403453,1711122,524,0,1767.76,7185.0905,5.4024,2.3714,963.1095,3.0156,1476.2993,4.6224,8148.2,8.4179,12489.9416,12.9034
2026-07-21 10:23:14,ESRS,BNP Paribas,data/ESRS/BNP Paribas.pdf,final results\ESRS structure\BNP Paribas_structure.json,data\ESRS\logs\BNP Paribas_20260721_102314.json,success,156,129125,yes,yes,466074,201236,667310,223,0,937.871,,BNP Paribas,52,130446,21054,5059,26113,5,0,80.448,487128,206295,693423,228,0,1018.319,4277.6282,6.012,1.4295,167.391,0.5157,502.1731,1.5471,4445.0192,6.5277,13335.0577,19.5831
2026-07-21 10:40:09,ESRS,Caixa Geral de Depósitos,data/ESRS/Caixa Geral de Depósitos.pdf,final results\ESRS structure\Caixa Geral de Depósitos_structure.json,data\ESRS\logs\Caixa Geral de Depósitos_20260721_104009.json,success,144,166454,yes,yes,588580,127679,716259,123,0,706.664,,Caixa Geral de Depósitos,31,166515,78420,12262,90682,6,0,179.504,667000,139941,806941,129,0,886.168,4974.0208,4.9074,0.8542,629.7361,1.2466,2925.2258,5.7905,5603.7569,6.1539,26030.3548,28.5861
2026-07-21 10:53:08,ESRS,CaixaBank,data/ESRS/CaixaBank.pdf,final results\ESRS structure\CaixaBank_structure.json,data\ESRS\logs\CaixaBank_20260721_105308.json,success,388,189446,yes,yes,618005,324644,942649,441,0,1229.511,,CaixaBank,125,190990,11728,16864,28592,19,0,232.045,629733,341508,971241,460,0,1461.556,2429.5077,3.1688,1.1366,73.6907,0.5981,228.736,1.8564,2503.1985,3.7669,7769.928,11.6924
2026-07-21 11:14:44,ESRS,Deutsche Bank,data/ESRS/Deutsche Bank.pdf,final results\ESRS structure\Deutsche Bank_structure.json,data\ESRS\logs\Deutsche Bank_20260721_111444.json,success,178,147938,yes,yes,299487,114314,413801,119,0,642.487,,Deutsche Bank,28,147610,0,0,0,0,0,13.709,299487,114314,413801,119,0,656.196,2324.7247,3.6095,0.6685,0.0,0.077,0.0,0.4896,2324.7247,3.6865,14778.6071,23.4356
2026-07-21 11:26:22,ESRS,DNB,data/ESRS/DNB.pdf,final results\ESRS structure\DNB_structure.json,data\ESRS\logs\DNB_20260721_112622.json,success,147,177129,yes,yes,1789867,562494,2352361,716,0,1960.819,,DNB,165,176823,14161,9569,23730,8,0,141.754,1804028,572063,2376091,724,0,2102.573,16002.4558,13.3389,4.8707,161.4286,0.9643,143.8182,0.8591,16163.8844,14.3032,14400.5515,12.7429
2026-07-21 12:01:57,ESRS,ING,data/ESRS/ING.pdf,final results\ESRS structure\ING_structure.json,data\ESRS\logs\ING_20260721_120157.json,success,61,55939,yes,yes,929913,290509,1220422,446,0,1224.509,,ING,118,55601,9476,13991,23467,12,0,182.075,939389,304500,1243889,458,0,1406.584,20006.918,20.0739,7.3115,384.7049,2.9848,198.8729,1.543,20391.623,23.0588,10541.4322,11.9202
2026-07-21 12:23:11,ESRS,Intesa Sanpaolo,data/ESRS/Intesa Sanpaolo.pdf,final results\ESRS structure\Intesa Sanpaolo_structure.json,data\ESRS\logs\Intesa Sanpaolo_20260721_122311.json,success,236,264702,no,no,2232585,828715,3061300,1102,0,1396.656,,Intesa Sanpaolo,307,262320,7867,7725,15592,9,0,158.913,2240452,836440,3076892,1111,0,1555.569,12971.6102,5.918,4.6695,66.0678,0.6734,50.7883,0.5176,13037.678,6.5914,10022.4495,5.067
2026-07-21 12:50:00,ESRS,KBC Group,data/ESRS/KBC Group.pdf,final results\ESRS structure\KBC Group_structure.json,data\ESRS\logs\KBC Group_20260721_125000.json,success,101,70522,no,no,347967,178448,526415,236,0,411.541,,KBC Group,60,70392,3341,2745,6086,2,0,60.208,351308,181193,532501,238,0,471.749,5212.0297,4.0747,2.3366,60.2574,0.5961,101.4333,1.0035,5272.2871,4.6708,8875.0167,7.8625
2026-07-21 12:57:34,ESRS,KfW,data/ESRS/KfW.pdf,final results\ESRS structure\KfW_structure.json,data\ESRS\logs\KfW_20260721_125734.json,success,154,134651,yes,yes,589563,270552,860115,327,0,1001.6,,KfW,72,134301,3806,4045,7851,6,0,78.111,593369,274597,867966,333,0,1079.711,5585.1623,6.5039,2.1234,50.9805,0.5072,109.0417,1.0849,5636.1429,7.0111,12055.0833,14.996
2026-07-21 14:43:09,ESRS,Nordea Bank,data/ESRS/Nordea Bank.pdf,final results\ESRS structure\Nordea Bank_structure.json,data\ESRS\logs\Nordea Bank_20260721_144309.json,success,21,21123,no,no,349262,169393,518655,262,0,353.07,,Nordea Bank,61,20858,1716,1052,2768,1,0,22.173,350978,170445,521423,263,0,375.243,24697.8571,16.8129,12.4762,131.8095,1.0559,45.377,0.3635,24829.6667,17.8687,8547.918,6.1515
2026-07-21 14:49:49,ESRS,OTP Bank,data/ESRS/OTP Bank.pdf,final results\ESRS structure\OTP Bank_structure.json,data\ESRS\logs\OTP Bank_20260721_144949.json,success,234,245925,no,no,1306336,590544,1896880,679,0,1206.986,,OTP Bank,197,245909,11995,13002,24997,14,0,216.362,1318331,603546,1921877,693,0,1423.348,8106.3248,5.1581,2.9017,106.8248,0.9246,126.8883,1.0983,8213.1496,6.0827,9755.7208,7.2251
2026-07-21 15:17:23,ESRS,Pekao,data/ESRS/Pekao.pdf,final results\ESRS structure\Pekao_structure.json,data\ESRS\logs\Pekao_20260721_151723.json,success,174,158058,no,no,784388,362411,1146799,363,0,834.438,,Pekao,111,157716,16682,4049,20731,2,0,71.261,801070,366460,1167530,365,0,905.699,6590.7989,4.7956,2.0862,119.1437,0.4095,186.7658,0.642,6709.9425,5.2052,10518.2883,8.1595
2026-07-21 15:31:57,ESRS,PKO Bank Polski,data/ESRS/PKO Bank Polski.pdf,final results\ESRS structure\PKO Bank Polski_structure.json,data\ESRS\logs\PKO Bank Polski_20260721_153157.json,success,118,143243,no,no,977824,414615,1392439,466,0,982.247,,PKO Bank Polski,136,141224,5983,5840,11823,6,0,98.729,983807,420455,1404262,472,0,1080.976,11800.3305,8.3241,3.9492,100.1949,0.8367,86.9338,0.7259,11900.5254,9.1608,10325.4559,7.9484
2026-07-21 15:50:01,ESRS,Raiffeisen Bank International,data/ESRS/Raiffeisen Bank International.pdf,final results\ESRS structure\Raiffeisen Bank International_structure.json,data\ESRS\logs\Raiffeisen Bank International_20260721_155001.json,success,340,302259,yes,yes,2917074,1296709,4213783,1638,0,2766.773,,Raiffeisen Bank International,338,289024,36682,30401,67083,21,0,487.155,2953756,1327110,4280866,1659,0,3253.928,12393.4794,8.1376,4.8176,197.3029,1.4328,198.4704,1.4413,12590.7824,9.5704,12665.284,9.627
2026-07-22 09:15:12,ESRS,Santander,data/ESRS/Santander.pdf,final results\ESRS structure\Santander_structure.json,data\ESRS\logs\Santander_20260722_091512.json,success,214,202387,yes,yes,2783972,559786,3343758,617,0,2409.42,,Santander,128,199948,3336,4995,8331,3,0,108.614,2787308,564781,3352089,620,0,2518.034,15625.0374,11.259,2.8832,38.9299,0.5075,65.0859,0.8485,15663.9673,11.7665,26188.1953,19.6721
2026-07-22 09:56:22,ESRS,Societe Generale,data/ESRS/Societe Generale.pdf,final results\ESRS structure\Societe Generale_structure.json,data\ESRS\logs\Societe Generale_20260722_095622.json,success,115,119672,yes,yes,341752,157246,498998,142,0,576.616,,Societe Generale,28,119523,831,999,1830,1,0,16.377,342583,158245,500828,143,0,592.993,4339.113,5.0141,1.2348,15.913,0.1424,65.3571,0.5849,4355.0261,5.1565,17886.7143,21.1783
2026-07-22 10:06:53,ESRS,Swedbank,data/ESRS/Swedbank.pdf,final results\ESRS structure\Swedbank_structure.json,data\ESRS\logs\Swedbank_20260722_100653.json,success,154,156941,yes,yes,1701425,617937,2319362,675,0,3211.541,,Swedbank,186,156700,25563,20786,46349,21,0,375.501,1726988,638723,2365711,696,0,3587.042,15060.7922,20.8542,4.3831,300.9675,2.4383,249.1882,2.0188,15361.7597,23.2925,12718.8763,19.2852
2026-07-22 11:04:14,ESRS,UniCredit,data/ESRS/UniCredit.pdf,final results\ESRS structure\UniCredit_structure.json,data\ESRS\logs\UniCredit_20260722_110414.json,success,186,245450,yes,yes,1048393,374944,1423337,409,0,1711.833,,UniCredit,94,243552,4452,3536,7988,4,0,89.525,1052845,378480,1431325,413,0,1801.358,7652.3495,9.2034,2.1989,42.9462,0.4813,84.9787,0.9524,7695.2957,9.6847,15226.8617,19.1634
