dataset,configuration_id,method,retrieval_model,variant,top_m,retrieval_setting,correct_chunk_retrieved,n,correct_count,correct_pct,partially_correct_count,partially_correct_pct,incorrect_count,incorrect_pct,no_answer_count,no_answer_pct
FinanceBench,bm25,bm25,,standard,,combined,no,180,27,15.0,3,1.667,7,3.889,143,79.444
FinanceBench,bm25,bm25,,standard,,combined,yes,42,40,95.238,1,2.381,0,0.0,1,2.381
FinanceBench,bm25,bm25,,standard,,top_1,no,96,12,12.5,1,1.042,3,3.125,80,83.333
FinanceBench,bm25,bm25,,standard,,top_1,yes,15,14,93.333,0,0.0,0,0.0,1,6.667
FinanceBench,bm25,bm25,,standard,,top_5,no,84,15,17.857,2,2.381,4,4.762,63,75.0
FinanceBench,bm25,bm25,,standard,,top_5,yes,27,26,96.296,1,3.704,0,0.0,0,0.0
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,no,142,38,26.761,5,3.521,8,5.634,91,64.085
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,yes,80,65,81.25,7,8.75,5,6.25,3,3.75
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,no,87,17,19.54,2,2.299,5,5.747,63,72.414
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,yes,24,20,83.333,2,8.333,1,4.167,1,4.167
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,no,55,21,38.182,3,5.455,3,5.455,28,50.909
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,yes,56,45,80.357,5,8.929,4,7.143,2,3.571
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,no,156,32,20.513,3,1.923,10,6.41,111,71.154
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,yes,66,55,83.333,6,9.091,2,3.03,3,4.545
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,no,91,12,13.187,2,2.198,5,5.495,72,79.121
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,yes,20,17,85.0,2,10.0,0,0.0,1,5.0
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,no,65,20,30.769,1,1.538,5,7.692,39,60.0
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,yes,46,38,82.609,4,8.696,2,4.348,2,4.348
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,no,137,37,27.007,7,5.109,16,11.679,77,56.204
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,yes,85,68,80.0,8,9.412,4,4.706,5,5.882
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,no,85,20,23.529,4,4.706,8,9.412,53,62.353
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,yes,26,22,84.615,2,7.692,1,3.846,1,3.846
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,no,52,17,32.692,3,5.769,8,15.385,24,46.154
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,yes,59,46,77.966,6,10.169,3,5.085,4,6.78
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,no,145,39,26.897,7,4.828,12,8.276,87,60.0
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,yes,77,63,81.818,4,5.195,6,7.792,4,5.195
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,no,88,19,21.591,2,2.273,4,4.545,63,71.591
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,yes,23,19,82.609,2,8.696,1,4.348,1,4.348
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,no,57,20,35.088,5,8.772,8,14.035,24,42.105
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,yes,54,44,81.481,2,3.704,5,9.259,3,5.556
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,no,146,31,21.233,5,3.425,10,6.849,100,68.493
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,yes,76,67,88.158,4,5.263,3,3.947,2,2.632
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,no,86,13,15.116,2,2.326,3,3.488,68,79.07
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,yes,25,24,96.0,0,0.0,1,4.0,0,0.0
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,no,60,18,30.0,3,5.0,7,11.667,32,53.333
