dataset,configuration_id,method,retrieval_model,variant,top_m,retrieval_setting,n,correct_chunk_retrieved_count,correct_chunk_retrieved_pct,correct_chunk_not_retrieved_count,correct_chunk_not_retrieved_pct
FinanceBench,bm25,bm25,,standard,,combined,222,42,18.919,180,81.081
FinanceBench,bm25,bm25,,standard,,top_1,111,15,13.514,96,86.486
FinanceBench,bm25,bm25,,standard,,top_5,111,27,24.324,84,75.676
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,combined,222,80,36.036,142,63.964
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,111,24,21.622,87,78.378
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,111,56,50.45,55,49.55
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,combined,222,66,29.73,156,70.27
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,111,20,18.018,91,81.982
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,111,46,41.441,65,58.559
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,combined,222,85,38.288,137,61.712
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,111,26,23.423,85,76.577
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,111,59,53.153,52,46.847
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,combined,222,77,34.685,145,65.315
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,111,23,20.721,88,79.279
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,111,54,48.649,57,51.351
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,combined,222,76,34.234,146,65.766
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,111,25,22.523,86,77.477
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,111,51,45.946,60,54.054
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,combined,222,71,31.982,151,68.018
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_1,111,20,18.018,91,81.982
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_5,111,51,45.946,60,54.054
FinanceBench,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,combined,222,156,70.27,66,29.73
FinanceBench,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_1,111,66,59.459,45,40.541
FinanceBench,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_5,111,90,81.081,21,18.919
