dataset,configuration_id,method,retrieval_model,variant,top_m,retrieval_setting,n_judged,correct_count,correct_pct,partially_correct_count,partially_correct_pct,incorrect_count,incorrect_pct,no_answer_count,no_answer_pct
FinanceBench,bm25,bm25,,standard,,top_1,100,17,17.0,0,0.0,3,3.0,80,80.0
FinanceBench,bm25,bm25,,standard,,top_5,90,28,31.111,0,0.0,3,3.333,59,65.556
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_1,83,19,22.892,0,0.0,3,3.614,61,73.494
FinanceBench,dense_harrier_oss_v1_0_6b,dense,microsoft/harrier-oss-v1-0.6b,standard,,top_5,68,36,52.941,0,0.0,3,4.412,29,42.647
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_1,90,16,17.778,0,0.0,3,3.333,71,78.889
FinanceBench,dense_linq_embed_mistral,dense,Linq-AI-Research/Linq-Embed-Mistral,standard,,top_5,69,31,44.928,0,0.0,3,4.348,35,50.725
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_1,79,25,31.646,0,0.0,5,6.329,49,62.025
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex_chunk_rerank,microsoft/harrier-oss-v1-0.6b,chunk_rerank,10,top_5,62,37,59.677,0,0.0,2,3.226,23,37.097
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_1,89,24,26.966,0,0.0,1,1.124,64,71.91
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10,hybrid_pageindex_chunk_rerank,Linq-AI-Research/Linq-Embed-Mistral,chunk_rerank,10,top_5,66,37,56.061,0,0.0,5,7.576,24,36.364
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_1,91,23,25.275,0,0.0,3,3.297,65,71.429
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10,hybrid_pageindex,microsoft/harrier-oss-v1-0.6b,node,10,top_5,68,36,52.941,0,0.0,2,2.941,30,44.118
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_1,87,22,25.287,0,0.0,2,2.299,63,72.414
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10,hybrid_pageindex,Linq-AI-Research/Linq-Embed-Mistral,node,10,top_5,71,34,47.887,0,0.0,3,4.225,34,47.887
FinanceBench,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_1,69,48,69.565,0,0.0,5,7.246,16,23.188
FinanceBench,pageindex_combined_query_results_clean,pageindex_llm,gpt-5,standard,,top_5,58,49,84.483,0,0.0,4,6.897,5,8.621
