dataset,result_file,method,model,variant,top_m,doc_name,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,3M_2018_10K,2,0.0,0.0,0.0,0.0,0.043039499999999994,0.043039499999999994,0.043039499999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,3M_2022_10K,2,0.0,0.5,0.25,0.5,0.025301999999999998,0.025301999999999998,0.025301999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,50.0,25.0,50.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,3M_2023Q2_10Q,3,0.0,0.0,0.0,0.0,0.02381,0.02381,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,ADOBE_2016_10K,1,0.0,0.0,0.0,0.0,0.041713,0.041713,0.041713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,ADOBE_2022_10K,2,0.0,0.0,0.0,0.0,0.021809000000000002,0.021809000000000002,0.021809000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AES_2022_10K,1,0.0,0.0,0.0,0.0,0.035765,0.035765,0.035765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMAZON_2017_10K,1,0.0,0.0,0.0,0.0,0.04356,0.04356,0.04356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMAZON_2019_10K,1,0.0,0.0,0.0,0.0,0.031301,0.031301,0.031301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMCOR_2020_10K,1,0.0,0.0,0.0,0.0,0.04331,0.04331,0.04331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMCOR_2022_8K_dated-2022-07-01,1,0.0,0.0,0.0,0.0,0.019525,0.019525,0.019525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMCOR_2023Q2_10Q,1,0.0,0.0,0.0,0.0,0.017875,0.017875,0.017875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMCOR_2023Q4_EARNINGS,2,0.0,0.0,0.0,0.5,0.026737999999999998,0.026737999999999998,0.026737999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,50.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMCOR_2023_10K,4,0.0,0.0,0.0,0.25,0.0243,0.0243,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,25.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMD_2022_10K,7,0.42857142857142855,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.020809285714285714,0.020809285714285714,0.020809285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,42.857142857142854,71.42857142857143,52.38095238095239,71.42857142857143
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMERICANEXPRESS_2022_10K,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.02195942857142857,0.02195942857142857,0.02195942857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.285714285714285,14.285714285714285,14.285714285714285,71.42857142857143
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,AMERICANWATERWORKS_2020_10K,1,0.0,0.0,0.0,1.0,0.039431,0.039431,0.039431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BESTBUY_2017_10K,1,0.0,0.0,0.0,0.0,0.048478,0.048478,0.048478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BESTBUY_2019_10K,1,0.0,0.0,0.0,0.0,0.04103,0.04103,0.04103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BESTBUY_2023_10K,3,0.0,0.0,0.0,0.3333333333333333,0.02562766666666667,0.02562766666666667,0.02562766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,33.33333333333333
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BESTBUY_2024Q2_10Q,3,0.0,0.0,0.0,0.0,0.018999333333333333,0.018999333333333333,0.018999333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BLOCK_2016_10K,1,0.0,0.0,0.0,0.0,0.054839,0.054839,0.054839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BLOCK_2020_10K,2,0.0,0.0,0.0,0.5,0.047686,0.047686,0.047686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,50.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BOEING_2018_10K,1,0.0,0.0,0.0,0.0,0.049406,0.049406,0.049406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,BOEING_2022_10K,6,0.0,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.019273666666666665,0.019273666666666665,0.019273666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,16.666666666666664,4.166666666666666,33.33333333333333
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,COCACOLA_2021_10K,1,0.0,0.0,0.0,0.0,0.034477,0.034477,0.034477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,CORNING_2021_10K,1,0.0,1.0,0.25,0.0,0.054687,0.054687,0.054687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,100.0,25.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,CORNING_2022_10K,2,0.0,0.0,0.0,0.5,0.0251655,0.0251655,0.0251655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,50.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,COSTCO_2021_10K,1,1.0,1.0,1.0,1.0,0.031686,0.031686,0.031686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,100.0,100.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,CVSHEALTH_2022_10K,1,0.0,1.0,0.5,1.0,0.018365,0.018365,0.018365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,100.0,50.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,FOOTLOCKER_2022_8K_dated-2022-05-20,1,1.0,1.0,1.0,1.0,0.015754,0.015754,0.015754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,100.0,100.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,FOOTLOCKER_2022_8K_dated_2022-08-19,1,0.0,0.0,0.0,1.0,0.02223,0.02223,0.02223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,GENERALMILLS_2020_10K,2,0.0,0.0,0.0,0.0,0.0578285,0.0578285,0.0578285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,JOHNSON_JOHNSON_2022Q4_EARNINGS,1,0.0,0.0,0.0,1.0,0.021764,0.021764,0.021764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,JOHNSON_JOHNSON_2022_10K,2,0.0,0.0,0.0,0.0,0.0246515,0.0246515,0.0246515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,JOHNSON_JOHNSON_2023Q2_EARNINGS,1,0.0,0.0,0.0,1.0,0.023416,0.023416,0.023416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,3,1.0,1.0,1.0,1.0,0.025223,0.025223,0.025223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0
