dataset,result_file,method,model,variant,top_m,filing_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,10-K,78,0.07692307692307693,0.19230769230769232,0.11965811965811966,0.34615384615384615,0.030867166666666668,0.030867166666666668,0.030867166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,7.6923076923076925,19.230769230769234,11.965811965811966,34.61538461538461
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,10-Q,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.021715333333333333,0.021715333333333333,0.021715333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,8-K,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.02422411111111111,0.02422411111111111,0.02422411111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,77.77777777777779,77.77777777777779,77.77777777777779,88.88888888888889
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Earnings Report,12,0.08333333333333333,0.3333333333333333,0.17361111111111108,0.5,0.021989083333333336,0.021989083333333336,0.021989083333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.333333333333332,33.33333333333333,17.361111111111107,50.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,10-K,78,0.19230769230769232,0.48717948717948717,0.29188034188034184,0.6666666666666666,0.0020256410256410257,0.0020256410256410257,0.0020256410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,19.230769230769234,48.717948717948715,29.188034188034184,66.66666666666666
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,10-Q,12,0.16666666666666666,0.5,0.28750000000000003,0.25,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,50.0,28.750000000000004,25.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,8-K,9,0.4444444444444444,0.7777777777777778,0.5592592592592592,1.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,44.44444444444444,77.77777777777779,55.925925925925924,100.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Earnings Report,12,0.25,0.4166666666666667,0.28750000000000003,0.5833333333333334,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,25.0,41.66666666666667,28.750000000000004,58.333333333333336
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,10-K,78,0.19230769230769232,0.3974358974358974,0.2675213675213675,0.5256410256410257,0.007282051282051283,0.007282051282051283,0.007282051282051283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,19.230769230769234,39.743589743589745,26.752136752136753,52.56410256410257
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,10-Q,12,0.0,0.25,0.09027777777777778,0.4166666666666667,0.00725,0.00725,0.00725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,25.0,9.027777777777777,41.66666666666667
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,8-K,9,0.3333333333333333,0.7777777777777778,0.4907407407407407,0.7777777777777778,0.0071111111111111115,0.0071111111111111115,0.0071111111111111115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.33333333333333,77.77777777777779,49.07407407407407,77.77777777777779
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Earnings Report,12,0.16666666666666666,0.4166666666666667,0.225,0.75,0.007083333333333334,0.007083333333333334,0.007083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,41.66666666666667,22.5,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,10-K,78,0.21794871794871795,0.5256410256410257,0.33589743589743587,0.8333333333333334,0.0003076923076923077,0.0003076923076923077,0.0003076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,21.794871794871796,52.56410256410257,33.589743589743584,83.33333333333334
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,10-Q,12,0.16666666666666666,0.25,0.1875,0.6666666666666666,8.333333333333333e-05,8.333333333333333e-05,8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,18.75,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,8-K,9,0.4444444444444444,0.7777777777777778,0.574074074074074,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,44.44444444444444,77.77777777777779,57.4074074074074,88.88888888888889
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Earnings Report,12,0.25,0.6666666666666666,0.37083333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,25.0,66.66666666666666,37.083333333333336,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,10-K,78,0.21794871794871795,0.46153846153846156,0.31175213675213675,0.8333333333333334,0.0001794871794871795,0.0001794871794871795,0.0001794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,21.794871794871796,46.15384615384615,31.175213675213676,83.33333333333334
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,10-Q,12,0.16666666666666666,0.25,0.20833333333333334,0.6666666666666666,0.00016666666666666666,0.00016666666666666666,0.00016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,16.666666666666664,25.0,20.833333333333336,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,8-K,9,0.4444444444444444,0.8888888888888888,0.5962962962962963,0.8888888888888888,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,44.44444444444444,88.88888888888889,59.62962962962963,88.88888888888889
