dataset,result_file,method,model,variant,top_m,question_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,domain-relevant,41,0.07317073170731707,0.14634146341463414,0.10162601626016259,0.3902439024390244,0.02510721951219512,0.02510721951219512,0.02510721951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,7.317073170731707,14.634146341463413,10.162601626016258,39.02439024390244
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,metrics-generated,27,0.037037037037037035,0.14814814814814814,0.07716049382716049,0.18518518518518517,0.04553837037037037,0.04553837037037037,0.04553837037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.7037037037037033,14.814814814814813,7.716049382716049,18.51851851851852
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,novel-generated,43,0.2558139534883721,0.3953488372093023,0.3062015503875969,0.4883720930232558,0.020725046511627907,0.020725046511627907,0.020725046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,39.53488372093023,30.620155038759687,48.837209302325576
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,domain-relevant,41,0.17073170731707318,0.4634146341463415,0.2577235772357723,0.5609756097560976,0.002024390243902439,0.002024390243902439,0.002024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,17.073170731707318,46.34146341463415,25.772357723577233,56.09756097560976
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,metrics-generated,27,0.25925925925925924,0.4444444444444444,0.3333333333333333,0.7407407407407407,0.002037037037037037,0.002037037037037037,0.002037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,25.925925925925924,44.44444444444444,33.33333333333333,74.07407407407408
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,novel-generated,43,0.23255813953488372,0.5813953488372093,0.351937984496124,0.6511627906976745,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,23.25581395348837,58.139534883720934,35.1937984496124,65.11627906976744
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,domain-relevant,41,0.14634146341463414,0.3170731707317073,0.2073170731707317,0.43902439024390244,0.0071219512195121945,0.0071219512195121945,0.0071219512195121945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,14.634146341463413,31.70731707317073,20.73170731707317,43.90243902439025
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,metrics-generated,27,0.2962962962962963,0.6296296296296297,0.41790123456790124,0.6666666666666666,0.00762962962962963,0.00762962962962963,0.00762962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,29.629629629629626,62.96296296296296,41.79012345679013,66.66666666666666
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,novel-generated,43,0.13953488372093023,0.37209302325581395,0.21589147286821705,0.6046511627906976,0.0071162790697674415,0.0071162790697674415,0.0071162790697674415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13.953488372093023,37.2093023255814,21.589147286821706,60.46511627906976
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,domain-relevant,41,0.24390243902439024,0.5365853658536586,0.3524390243902439,0.8292682926829268,0.00024390243902439024,0.00024390243902439024,0.00024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,24.390243902439025,53.65853658536586,35.24390243902439,82.92682926829268
