dataset,result_file,method,model,variant,top_m,toc,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,No TOC,21,0.2857142857142857,0.47619047619047616,0.3492063492063492,0.5714285714285714,0.024411952380952378,0.024411952380952378,0.024411952380952378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,28.57142857142857,47.61904761904761,34.92063492063492,57.14285714285714
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Present,90,0.1,0.18888888888888888,0.13425925925925927,0.3333333333333333,0.02930508888888889,0.02930508888888889,0.02930508888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,10.0,18.88888888888889,13.425925925925927,33.33333333333333
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,No TOC,21,0.23809523809523808,0.5238095238095238,0.3246031746031746,0.7619047619047619,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,23.809523809523807,52.38095238095239,32.46031746031746,76.19047619047619
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Present,90,0.2111111111111111,0.5,0.3098148148148148,0.6111111111111112,0.002022222222222222,0.002022222222222222,0.002022222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,21.11111111111111,50.0,30.98148148148148,61.111111111111114
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,No TOC,21,0.14285714285714285,0.5238095238095238,0.2674603174603175,0.6666666666666666,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14.285714285714285,52.38095238095239,26.74603174603175,66.66666666666666
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Present,90,0.18888888888888888,0.3888888888888889,0.26055555555555554,0.5333333333333333,0.007266666666666667,0.007266666666666667,0.007266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,18.88888888888889,38.88888888888889,26.055555555555554,53.333333333333336
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,No TOC,21,0.23809523809523808,0.6190476190476191,0.3603174603174603,0.7619047619047619,9.523809523809524e-05,9.523809523809524e-05,9.523809523809524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,23.809523809523807,61.904761904761905,36.03174603174603,76.19047619047619
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Present,90,0.23333333333333334,0.5111111111111111,0.3388888888888889,0.8111111111111111,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,23.333333333333332,51.11111111111111,33.88888888888889,81.11111111111111
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,No TOC,21,0.23809523809523808,0.5714285714285714,0.35873015873015873,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,23.809523809523807,57.14285714285714,35.87301587301587,76.19047619047619
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Present,90,0.23333333333333334,0.4666666666666667,0.3238888888888889,0.8111111111111111,0.00020000000000000004,0.00020000000000000004,0.00020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,23.333333333333332,46.666666666666664,32.388888888888886,81.11111111111111
