run_timestamp,dataset,pdf_name,doc_name,pdf_path,structure_path,output_path,updated_structure_path,num_chunks,total_chunk_tokens,input_tokens,output_tokens,total_tokens,llm_successful_calls,llm_failed_calls,latency_seconds
2026-08-17 15:07:36,FinanceBench,3M_2018_10K,3M_2018_10K,.\data\FinanceBench\3M_2018_10K.pdf,.\final results\FinanceBench structure\3M_2018_10K_structure.json,.\final results\FinanceBench chunks\3M_2018_10K_chunks.jsonl,.\final results\FinanceBench structure\3M_2018_10K_structure_new.json,66,141248,0,0,0,0,0,23.166
2026-08-17 15:08:04,FinanceBench,3M_2022_10K,3M_2022_10K,.\data\FinanceBench\3M_2022_10K.pdf,.\final results\FinanceBench structure\3M_2022_10K_structure.json,.\final results\FinanceBench chunks\3M_2022_10K_chunks.jsonl,.\final results\FinanceBench structure\3M_2022_10K_structure_new.json,214,227112,0,0,0,0,0,29.985
2026-08-17 15:08:40,FinanceBench,3M_2023Q2_10Q,3M_2023Q2_10Q,.\data\FinanceBench\3M_2023Q2_10Q.pdf,.\final results\FinanceBench structure\3M_2023Q2_10Q_structure.json,.\final results\FinanceBench chunks\3M_2023Q2_10Q_chunks.jsonl,.\final results\FinanceBench structure\3M_2023Q2_10Q_structure_new.json,36,78033,0,0,0,0,0,12.455
2026-08-17 15:08:58,FinanceBench,ADOBE_2016_10K,ADOBE_2016_10K,.\data\FinanceBench\ADOBE_2016_10K.pdf,.\final results\FinanceBench structure\ADOBE_2016_10K_structure.json,.\final results\FinanceBench chunks\ADOBE_2016_10K_chunks.jsonl,.\final results\FinanceBench structure\ADOBE_2016_10K_structure_new.json,54,93385,1881,1009,2890,1,0,17.007
2026-08-17 15:09:21,FinanceBench,ADOBE_2022_10K,ADOBE_2022_10K,.\data\FinanceBench\ADOBE_2022_10K.pdf,.\final results\FinanceBench structure\ADOBE_2022_10K_structure.json,.\final results\FinanceBench chunks\ADOBE_2022_10K_chunks.jsonl,.\final results\FinanceBench structure\ADOBE_2022_10K_structure_new.json,29,79297,0,0,0,0,0,5.974
2026-08-17 15:09:32,FinanceBench,AES_2022_10K,AES_2022_10K,.\data\FinanceBench\AES_2022_10K.pdf,.\final results\FinanceBench structure\AES_2022_10K_structure.json,.\final results\FinanceBench chunks\AES_2022_10K_chunks.jsonl,.\final results\FinanceBench structure\AES_2022_10K_structure_new.json,195,200577,3092,4021,7113,4,0,85.528
2026-08-17 15:11:03,FinanceBench,AMAZON_2017_10K,AMAZON_2017_10K,.\data\FinanceBench\AMAZON_2017_10K.pdf,.\final results\FinanceBench structure\AMAZON_2017_10K_structure.json,.\final results\FinanceBench chunks\AMAZON_2017_10K_chunks.jsonl,.\final results\FinanceBench structure\AMAZON_2017_10K_structure_new.json,27,69561,0,0,0,0,0,4.176
2026-08-17 15:11:12,FinanceBench,AMAZON_2019_10K,AMAZON_2019_10K,.\data\FinanceBench\AMAZON_2019_10K.pdf,.\final results\FinanceBench structure\AMAZON_2019_10K_structure.json,.\final results\FinanceBench chunks\AMAZON_2019_10K_chunks.jsonl,.\final results\FinanceBench structure\AMAZON_2019_10K_structure_new.json,30,66831,0,0,0,0,0,3.582
2026-08-17 15:11:20,FinanceBench,AMCOR_2020_10K,AMCOR_2020_10K,.\data\FinanceBench\AMCOR_2020_10K.pdf,.\final results\FinanceBench structure\AMCOR_2020_10K_structure.json,.\final results\FinanceBench chunks\AMCOR_2020_10K_chunks.jsonl,.\final results\FinanceBench structure\AMCOR_2020_10K_structure_new.json,226,131079,3623,3274,6897,5,0,53.51
2026-08-17 15:12:19,FinanceBench,AMCOR_2022_8K_dated-2022-07-01,AMCOR_2022_8K_dated-2022-07-01,.\data\FinanceBench\AMCOR_2022_8K_dated-2022-07-01.pdf,.\final results\FinanceBench structure\AMCOR_2022_8K_dated-2022-07-01_structure.json,.\final results\FinanceBench chunks\AMCOR_2022_8K_dated-2022-07-01_chunks.jsonl,.\final results\FinanceBench structure\AMCOR_2022_8K_dated-2022-07-01_structure_new.json,20,5575,0,0,0,0,0,1.581
