run_timestamp,dataset,pdf_name,pdf_path,output_path,log_path,status,num_pages,raw_pdf_tokens,toc_present,toc_page_index_given,input_tokens,output_tokens,total_tokens,llm_successful_calls,llm_failed_calls,latency_seconds,error
2026-07-22 13:31:28,FinanceBench,3M_2018_10K,data/FinanceBench/3M_2018_10K.pdf,final results\FinanceBench structure\3M_2018_10K_structure.json,data\FinanceBench\logs\3M_2018_10K_20260722_133128.json,success,160,138457,yes,yes,584610,249755,834365,302,0,1387.549,
2026-07-22 14:00:52,FinanceBench,3M_2022_10K,data/FinanceBench/3M_2022_10K.pdf,final results\FinanceBench structure\3M_2022_10K_structure.json,data\FinanceBench\logs\3M_2022_10K_20260722_140052.json,success,252,197789,yes,yes,1464996,668135,2133131,1069,0,1572.984,
2026-07-22 14:27:42,FinanceBench,3M_2023Q2_10Q,data/FinanceBench/3M_2023Q2_10Q.pdf,final results\FinanceBench structure\3M_2023Q2_10Q_structure.json,data\FinanceBench\logs\3M_2023Q2_10Q_20260722_142742.json,success,92,77414,yes,yes,313367,136407,449774,175,0,650.218,
2026-07-22 14:39:24,FinanceBench,ADOBE_2016_10K,data/FinanceBench/ADOBE_2016_10K.pdf,final results\FinanceBench structure\ADOBE_2016_10K_structure.json,data\FinanceBench\logs\ADOBE_2016_10K_20260722_143924.json,success,112,89301,yes,yes,404992,189851,594843,232,0,750.708,
2026-07-22 14:55:13,FinanceBench,ADOBE_2022_10K,data/FinanceBench/ADOBE_2022_10K.pdf,final results\FinanceBench structure\ADOBE_2022_10K_structure.json,data\FinanceBench\logs\ADOBE_2022_10K_20260722_145513.json,success,99,76997,yes,yes,250679,97655,348334,149,0,649.649,
2026-07-22 15:07:53,FinanceBench,AES_2022_10K,data/FinanceBench/AES_2022_10K.pdf,final results\FinanceBench structure\AES_2022_10K_structure.json,data\FinanceBench\logs\AES_2022_10K_20260722_150753.json,success,257,197577,yes,yes,1244706,567009,1811715,762,0,2905.735,
2026-07-22 15:58:25,FinanceBench,AMAZON_2017_10K,data/FinanceBench/AMAZON_2017_10K.pdf,final results\FinanceBench structure\AMAZON_2017_10K_structure.json,data\FinanceBench\logs\AMAZON_2017_10K_20260722_155825.json,success,85,66878,yes,yes,263013,123834,386847,144,0,1295.57,
2026-07-22 16:22:25,FinanceBench,AMAZON_2019_10K,data/FinanceBench/AMAZON_2019_10K.pdf,final results\FinanceBench structure\AMAZON_2019_10K_structure.json,data\FinanceBench\logs\AMAZON_2019_10K_20260722_162225.json,success,83,63481,yes,yes,262319,150915,413234,159,0,1765.328,
2026-07-23 09:03:03,FinanceBench,AMCOR_2020_10K,data/FinanceBench/AMCOR_2020_10K.pdf,final results\FinanceBench structure\AMCOR_2020_10K_structure.json,data\FinanceBench\logs\AMCOR_2020_10K_20260723_090303.json,success,195,126969,yes,yes,1120489,554788,1675277,806,0,1240.16,
2026-07-23 09:24:32,FinanceBench,AMCOR_2022_8K_dated-2022-07-01,data/FinanceBench/AMCOR_2022_8K_dated-2022-07-01.pdf,final results\FinanceBench structure\AMCOR_2022_8K_dated-2022-07-01_structure.json,data\FinanceBench\logs\AMCOR_2022_8K_dated-2022-07-01_20260723_092432.json,success,9,5657,no,no,102702,56512,159214,94,0,187.12,
2026-07-23 09:28:50,FinanceBench,AMCOR_2023_10K,data/FinanceBench/AMCOR_2023_10K.pdf,final results\FinanceBench structure\AMCOR_2023_10K_structure.json,data\FinanceBench\logs\AMCOR_2023_10K_20260723_092850.json,success,156,104146,yes,yes,324178,138637,462815,174,0,665.964,
2026-07-23 09:41:26,FinanceBench,AMCOR_2023Q2_10Q,data/FinanceBench/AMCOR_2023Q2_10Q.pdf,final results\FinanceBench structure\AMCOR_2023Q2_10Q_structure.json,data\FinanceBench\logs\AMCOR_2023Q2_10Q_20260723_094126.json,success,57,28908,yes,yes,179315,112657,291972,150,0,614.423,
2026-07-23 09:53:02,FinanceBench,AMCOR_2023Q4_EARNINGS,data/FinanceBench/AMCOR_2023Q4_EARNINGS.pdf,final results\FinanceBench structure\AMCOR_2023Q4_EARNINGS_structure.json,data\FinanceBench\logs\AMCOR_2023Q4_EARNINGS_20260723_095302.json,success,14,11428,no,no,104181,58690,162871,76,0,207.226,
2026-07-23 09:57:51,FinanceBench,AMD_2022_10K,data/FinanceBench/AMD_2022_10K.pdf,final results\FinanceBench structure\AMD_2022_10K_structure.json,data\FinanceBench\logs\AMD_2022_10K_20260723_095751.json,success,121,85678,yes,yes,263001,109136,372137,148,0,477.055,
2026-07-23 15:56:20,FinanceBench,AMERICANEXPRESS_2022_10K,data/FinanceBench/AMERICANEXPRESS_2022_10K.pdf,final results\FinanceBench structure\AMERICANEXPRESS_2022_10K_structure.json,data\FinanceBench\logs\AMERICANEXPRESS_2022_10K_20260723_155620.json,success,260,177259,yes,yes,1035030,521082,1556112,698,0,1659.289,
2026-07-24 08:51:13,FinanceBench,AMERICANWATERWORKS_2020_10K,data/FinanceBench/AMERICANWATERWORKS_2020_10K.pdf,final results\FinanceBench structure\AMERICANWATERWORKS_2020_10K_structure.json,data\FinanceBench\logs\AMERICANWATERWORKS_2020_10K_20260724_085113.json,success,152,143045,yes,yes,837799,354441,1192240,447,0,2773.428,
2026-07-24 09:38:23,FinanceBench,BESTBUY_2017_10K,data/FinanceBench/BESTBUY_2017_10K.pdf,final results\FinanceBench structure\BESTBUY_2017_10K_structure.json,data\FinanceBench\logs\BESTBUY_2017_10K_20260724_093823.json,success,109,132166,yes,yes,1322238,467930,1790168,578,0,2824.184,
2026-07-24 11:33:19,FinanceBench,BESTBUY_2019_10K,data/FinanceBench/BESTBUY_2019_10K.pdf,final results\FinanceBench structure\BESTBUY_2019_10K_structure.json,data\FinanceBench\logs\BESTBUY_2019_10K_20260724_113319.json,success,107,133871,yes,yes,1309028,479489,1788517,596,0,2087.771,
