pdf_file,pdf_path,page_count,error
ABN Amro.pdf,data\ESRS\ABN Amro.pdf,92,
Banca Monte dei Paschi di Siena.pdf,data\ESRS\Banca Monte dei Paschi di Siena.pdf,175,
Banque Postale.pdf,data\ESRS\Banque Postale.pdf,270,
BBVA.pdf,data\ESRS\BBVA.pdf,67,
Belfius.pdf,data\ESRS\Belfius.pdf,210,
BNP Paribas.pdf,data\ESRS\BNP Paribas.pdf,156,
Caixa Geral de Depósitos.pdf,data\ESRS\Caixa Geral de Depósitos.pdf,144,
CaixaBank.pdf,data\ESRS\CaixaBank.pdf,388,
Deutsche Bank.pdf,data\ESRS\Deutsche Bank.pdf,178,
DNB.pdf,data\ESRS\DNB.pdf,147,
ING.pdf,data\ESRS\ING.pdf,61,
Intesa Sanpaolo.pdf,data\ESRS\Intesa Sanpaolo.pdf,236,
KBC Group.pdf,data\ESRS\KBC Group.pdf,101,
KfW.pdf,data\ESRS\KfW.pdf,154,
Nordea Bank.pdf,data\ESRS\Nordea Bank.pdf,21,
OTP Bank.pdf,data\ESRS\OTP Bank.pdf,234,
Pekao.pdf,data\ESRS\Pekao.pdf,174,
PKO Bank Polski.pdf,data\ESRS\PKO Bank Polski.pdf,118,
Raiffeisen Bank International.pdf,data\ESRS\Raiffeisen Bank International.pdf,340,
Santander.pdf,data\ESRS\Santander.pdf,214,
Societe Generale.pdf,data\ESRS\Societe Generale.pdf,115,
Swedbank.pdf,data\ESRS\Swedbank.pdf,154,
UniCredit.pdf,data\ESRS\UniCredit.pdf,186,
