pdf_file,pdf_path,page_count,error
3M_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\3M_2018_10K.pdf,160,
3M_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\3M_2022_10K.pdf,252,
3M_2023Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\3M_2023Q2_10Q.pdf,92,
ACTIVISIONBLIZZARD_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ACTIVISIONBLIZZARD_2019_10K.pdf,198,
ADOBE_2015_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ADOBE_2015_10K.pdf,116,
ADOBE_2016_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ADOBE_2016_10K.pdf,112,
ADOBE_2017_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ADOBE_2017_10K.pdf,107,
ADOBE_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ADOBE_2022_10K.pdf,,cryptography>=3.1 is required for AES algorithm
AES_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AES_2022_10K.pdf,257,
AMAZON_2017_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMAZON_2017_10K.pdf,85,
AMAZON_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMAZON_2019_10K.pdf,83,
AMCOR_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMCOR_2020_10K.pdf,195,
AMCOR_2022_8K_dated-2022-07-01.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMCOR_2022_8K_dated-2022-07-01.pdf,9,
AMCOR_2023_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMCOR_2023_10K.pdf,156,
AMCOR_2023Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMCOR_2023Q2_10Q.pdf,57,
AMCOR_2023Q4_EARNINGS_dated-2022-07-01.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMCOR_2023Q4_EARNINGS_dated-2022-07-01.pdf,14,
AMD_2015_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMD_2015_10K.pdf,215,
AMD_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMD_2022_10K.pdf,121,
AMERICANEXPRESS_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMERICANEXPRESS_2022_10K.pdf,260,
