pdf_file,pdf_path,page_count,error
3M_2018_10K.pdf,data\FinanceBench\3M_2018_10K.pdf,160,
3M_2022_10K.pdf,data\FinanceBench\3M_2022_10K.pdf,252,
3M_2023Q2_10Q.pdf,data\FinanceBench\3M_2023Q2_10Q.pdf,92,
ADOBE_2016_10K.pdf,data\FinanceBench\ADOBE_2016_10K.pdf,112,
ADOBE_2022_10K.pdf,data\FinanceBench\ADOBE_2022_10K.pdf,99,
AES_2022_10K.pdf,data\FinanceBench\AES_2022_10K.pdf,257,
AMAZON_2017_10K.pdf,data\FinanceBench\AMAZON_2017_10K.pdf,85,
AMAZON_2019_10K.pdf,data\FinanceBench\AMAZON_2019_10K.pdf,83,
AMCOR_2020_10K.pdf,data\FinanceBench\AMCOR_2020_10K.pdf,195,
AMCOR_2022_8K_dated-2022-07-01.pdf,data\FinanceBench\AMCOR_2022_8K_dated-2022-07-01.pdf,9,
AMCOR_2023_10K.pdf,data\FinanceBench\AMCOR_2023_10K.pdf,156,
AMCOR_2023Q2_10Q.pdf,data\FinanceBench\AMCOR_2023Q2_10Q.pdf,57,
AMCOR_2023Q4_EARNINGS.pdf,data\FinanceBench\AMCOR_2023Q4_EARNINGS.pdf,14,
AMD_2022_10K.pdf,data\FinanceBench\AMD_2022_10K.pdf,121,
AMERICANEXPRESS_2022_10K.pdf,data\FinanceBench\AMERICANEXPRESS_2022_10K.pdf,260,
AMERICANWATERWORKS_2020_10K.pdf,data\FinanceBench\AMERICANWATERWORKS_2020_10K.pdf,152,
BESTBUY_2017_10K.pdf,data\FinanceBench\BESTBUY_2017_10K.pdf,109,
BESTBUY_2019_10K.pdf,data\FinanceBench\BESTBUY_2019_10K.pdf,107,
BESTBUY_2023_10K.pdf,data\FinanceBench\BESTBUY_2023_10K.pdf,75,
BESTBUY_2024Q2_10Q.pdf,data\FinanceBench\BESTBUY_2024Q2_10Q.pdf,30,
BLOCK_2016_10K.pdf,data\FinanceBench\BLOCK_2016_10K.pdf,121,
BLOCK_2020_10K.pdf,data\FinanceBench\BLOCK_2020_10K.pdf,158,
BOEING_2018_10K.pdf,data\FinanceBench\BOEING_2018_10K.pdf,136,
BOEING_2022_10K.pdf,data\FinanceBench\BOEING_2022_10K.pdf,190,
COCACOLA_2021_10K.pdf,data\FinanceBench\COCACOLA_2021_10K.pdf,183,
CORNING_2021_10K.pdf,data\FinanceBench\CORNING_2021_10K.pdf,125,
CORNING_2022_10K.pdf,data\FinanceBench\CORNING_2022_10K.pdf,159,
COSTCO_2021_10K.pdf,data\FinanceBench\COSTCO_2021_10K.pdf,76,
