dataset,doc_name,number_of_chunks,characters_mean,characters_median,characters_std,characters_min,characters_q1,characters_q3,characters_p95,characters_max,words_mean,words_median,words_std,words_min,words_q1,words_q3,words_p95,words_max,tokens_available,tokens_mean,tokens_median,tokens_std,tokens_min,tokens_q1,tokens_q3,tokens_p95,tokens_max
ESRS,ABN Amro,139,2082.27,965,4155.1,176,625.0,1940.0,5786.8,37313,330.21,159,688.92,24,102.5,292.0,1012.0,6529,True,502.99,210,1292.54,32,134.0,390.0,1578.3,12735
ESRS,BBVA,13,19198.77,3961,30757.21,17,2576.0,14893.0,81639.2,93593,2869.23,565,4651.13,4,354.0,2192.0,12318.4,14218,True,4324.92,803,7208.98,7,484.0,3123.0,19107.6,22203
ESRS,BNP Paribas,52,10243.4,2893.5,13298.83,896,1955.25,11012.0,37323.25,50741,1513.96,428.0,1994.39,127,296.0,1681.0,5346.15,8205,True,2508.58,733.0,3491.07,184,511.5,3403.0,8450.55,18511
ESRS,Banca Monte dei Paschi di Siena,216,3184.45,1880.0,4073.44,80,700.25,3411.75,11902.0,21543,479.93,274.0,659.36,11,107.0,522.0,1846.75,4377,True,757.7,369.5,1249.71,13,138.5,703.0,3991.5,7318
ESRS,Banque Postale,226,4874.2,2639.5,9363.21,53,1161.25,5350.75,14215.0,110537,734.52,386.5,1520.41,7,167.25,782.5,2107.0,17399,True,1245.92,616.0,2636.49,16,279.5,1289.25,3248.25,29509
ESRS,Belfius,137,5237.04,2027,12802.49,16,1064.0,3653.0,13947.0,102628,757.86,289,1846.29,3,157.0,500.0,2080.2,15136,True,1429.8,432,4253.05,4,209.0,842.0,3421.0,30607
ESRS,Caixa Geral de Depósitos,31,18601.77,3844,26045.17,34,1671.5,28882.0,69974.0,98874,2871.03,550,3887.49,7,185.0,4520.0,10072.0,14316,True,5371.45,1077,6835.98,11,276.0,9474.0,19382.5,20117
ESRS,CaixaBank,125,7773.05,1729,18801.88,26,765.0,3747.0,34543.6,121206,1040.03,231,2500.75,3,112.0,534.0,4606.8,16260,True,1527.92,320,3567.3,5,153.0,797.0,6413.4,23475
ESRS,DNB,165,4565.29,2392,6296.85,230,1480.0,5704.0,13328.2,43013,685.06,363,938.58,34,224.0,857.0,2025.8,6675,True,1071.65,555,1593.14,50,290.0,1204.0,3382.0,12817
ESRS,Deutsche Bank,28,25532.32,15900.5,31091.52,18,7425.75,29647.25,94529.1,124893,3723.71,2296.0,4577.3,2,1082.5,4228.25,13861.0,18579,True,5271.79,3018.0,6684.78,2,1550.0,5471.75,20754.25,26451
